no,timestamp,teks,teks_processed,sentiment,compound_score,dominant_topic,topic_probability
11245,2020-12-23T05:31:02.000Z,DPR Apresiasi Kebijakan Test Antigen JAKARTA TEROPONGSENAYAN Anggota Komisi IX DPR RI Saleh Partaonan Daulay mengapresiasi kebijakan satgas Covid untuk mewajibkan test antigen bagi calon penumpang pesawat dan KA Apalagi kebijakan tersebut,DPR apresiasi kebijakan test antigen JAKARTA TEROPONGSENAYAN anggota komisi IX DPR RI saleh partaonan daulay mengapresiasi kebijakan satgas covid untuk mewajibkan test antigen bagi calon penumpang pesawat dan KAK apalagi kebijakan tersebut,negative,-0.8192,1,0.4434
11248,2020-12-23T02:29:33.000Z,Ketua Fraksi PKS DPR RI Jazuli Juwaini meminta pemerintah agar mengurungkan niat untuk memberikan calling visa kepada WN Israel Kebijakan itu dianggapnya bertentangan dengan konstitusi serta sikap antipenjajahan yang selama ini konsisten disuarakan,ketua fraksi PKS DPR RI jazuli juwaini meminta pemerintah agar mengurungkan niat untuk memberikan calling visa kepada WN israel kebijakan itu dianggapnya bertentangan dengan konstitusi serta sikap antipenjajahan yang selama ini konsisten disuarakan,negative,-0.3818,5,0.6055
11250,2020-12-22T23:52:27.000Z,Gak bosannya musuhin ummat islam radikal radikul ekstremis buktinya yg blm lama mau merubah pancasila juga bukan ormas islam berani tindak tegas gak penggagas ruu hip??pedeipeh dan semua anggota dpr yg terlibat??? Yg korupsi gedean juga bukan ormas islam yg nguasai SDA jg bukan,tidak bosannya musuhin ummat islam radikal radikul ekstremis buktinya yang belum lama mau merubah pancasila juga bukan ormas islam berani tindak tegas tidak penggagas ruu hip ? ? pedeipeh dan semua anggota dpr yang terlibat ? ? yang korupsi gedean juga bukan ormas islam yang nguasai SDA juga bukan,negative,-0.9712,4,0.5666
11253,2020-12-22T03:33:08.000Z,Krn itu HRS para pendukungnya sangat bernafsu utk GagalkanRUUPKS agar dia tak bs dijerat jg bs terus menyalahkan Firza sang korban! Krn chat mesum termasuk dlm pelecehan verbal di RUU PKS kemudian jika udh SahkanRUUPKS dia tak akan bs victim blaming lg kpd Firza!,karena itu HARUS para pendukungnya sangat bernafsu untuk gagalkanruupks agar dia tak bisa dijerat juga bisa terus menyalahkan firza sang korban ! karena chat mesum termasuk dalam pelecehan verbal di RUU PKS kemudian jika sudah sahkanruupks dia tak akan bisa victim blaming lagi kepada firza !,negative,-0.9565,1,0.7283
11260,2020-12-21T10:49:51.000Z,Sbg representasi wakil rakyat di DPR RI tugas tanggung jawab wakil rakyat salah satunya ad harus terus responsif memperjuangkan suara aspirasi rakyat scr utuh berkeadilan termsk tewasnya anggota FPI,sebagai representasi wakil rakyat di DPR RI tugas tanggung jawab wakil rakyat salah satunya ada harus terus responsif memperjuangkan suara aspirasi rakyat secara utuh berkeadilan termsk tewasnya anggota FPI,negative,-0.8146,5,0.4612
11261,2020-12-21T10:25:49.000Z,Rezka Oktoberia pulang kampung untuk pertama kalinya sejak dilantik sebagai Anggota DPR RI Dapil Sumbar II PAW periode Kedatangan Rezka dalam rangka Reses masa persidangan ke tahun disambut Bupati Limapuluh Kota Irfendi Arbi,rezka oktoberia pulang kampung untuk pertama kalinya sejak dilantik sebagai anggota DPR RI dapil sumbar II PAW periode kedatangan rezka dalam rangka reses masa persidangan ke tahun disambut bupati limapuluh kota irfendi arbi,negative,-0.1027,4,0.5875
11263,2020-12-21T05:58:39.000Z,Kedatangan Anggota DPR RI Rezka Oktoberia di Kantor DPC Demokrat Payakumbuh pada Senin ini bertujuan untuk silaturahmi menggelar Reses Selain itu kedatangan Rezka juga untuk menyantuni anak yatim yang ada di Kota Payakumbuh,kedatangan anggota DPR RI rezka oktoberia di kantor DPC demokrat payakumbuh pada senin ini bertujuan untuk silaturahmi menggelar reses selain itu kedatangan rezka juga untuk menyantuni anak yatim yang ada di kota payakumbuh,negative,-0.6369,1,0.4974
11265,2020-12-21T05:21:56.000Z,Baleg DPR tidak menemukan halangan saat mengusulkan RUU PKS masuk dalam pembahasan Program Legislasi Nasional Prolegnas Prioritas Komitmen itu diharapkan tidak berubah hingga pengesahan di rapat paripurna DPR ruuPKS FRAKSINASDEM,baleg DPR tidak menemukan halangan saat mengusulkan RUU PKS masuk dalam pembahasan program legislasi nasional prolegnas prioritas komitmen itu diharapkan tidak berubah hingga pengesahan di rapat paripurna DPR ruupks FRAKSINASDEM,negative,-0.8474,1,0.6703
11267,2020-12-21T03:22:17.000Z,Saya bilang pada anak anak saya Kalian itu ya kalau belajar sungguh sungguh jangan terlalu banyak baca komik jangan mimpi bisa punya duit ratusan milyar jangan serakah jangan sombong! Inget bapakmu ini bukan Pak Lurah!,saya bilang pada anak anak saya kalian itu ya jika belajar sungguh sungguh jangan terlalu banyak baca komik jangan mimpi bisa punya duit ratusan milyar jangan serakah jangan sombong ! ingat bapakmu ini bukan pak lurah !,negative,-0.8023,2,0.6953
11268,2020-12-21T03:12:35.000Z,KALEIDOSKOP RUU Kontroversial yang Disahkan DPR RI Selain Kontroversial juga tidak tepat disaat negara seharusny fokus mengatasi Pandemi Corona Walhasil kurva penyebaran positif Corona semakin memburuk,KALEIDOSKOP RUU kontroversial yang disahkan DPR RI selain kontroversial juga tidak tepat disaat negara seharusnya fokus mengatasi pandemi corona walhasil kurva penyebaran positif corona semakin memburuk,negative,-0.7290,3,0.6533
11272,2020-12-20T12:34:49.000Z,Sahkan RUU P KS Penghapusan Kekerasan Seksual Penuhi Hak Korban! SahkanRUUPKS Sign the Petition! عبر,sahkan RUU p KS penghapusan kekerasan seksual penuhi hak korban ! sahkanruupks sign the petition ! عبر,negative,-0.5550,1,0.6418
11274,2020-12-20T08:08:20.000Z,RT infoJATIASIH RT Anggota DPR desak pembuatan RUU untuk lindungi pasar tradisional,RT infojatiasih RT anggota DPR desak pembuatan RUU untuk lindungi pasar tradisional,negative,-0.7330,2,0.3828
11275,2020-12-20T07:11:40.000Z,Anggota F PD DPR RI Zulfikar Hamonangan menggelar Reses masa sidang II di wilayah Selapajang Jaya Neglasari Tangerang Sabtu malam Reses yang dihadiri tokoh masyarakat pemuda tokoh agama setempat menerapkan prokes secara ketat,anggota f PADA DPR RI zulfikar hamonangan menggelar reses masa sidang II di wilayah selapajang jaya neglasari tangerang sabtu malam reses yang dihadiri tokoh masyarakat pemuda tokoh agama setempat menerapkan prokes secara ketat,negative,-0.2023,1,0.3535
11277,2020-12-20T06:01:58.000Z,gilaa ini masih data yang terlapor angkanya sudah begini halo ruu p ks apa kabar?,gila ini masih data yang terlapor angkanya sudah begini halo ruu p ks apa kabar ?,negative,-0.1027,3,0.4918
11278,2020-12-20T05:36:40.000Z,Itu kritik anggota dewan harus mengkritik kebijakan penguasa kalau tidak sesuai dengan hati nurani Rakyat,itu kritik anggota dewan harus mengkritik kebijakan penguasa jika tidak sesuai dengan hati nurani rakyat,negative,-0.9317,3,0.4036
11280,2020-12-20T01:19:02.000Z,Pasar Modern Merajalela Anggota DPR Desak RUU Perlindungan Pasar Tradisional beritajogja jogja jogjaistimewa,pasar modern merajalela anggota DPR desak RUU perlindungan pasar tradisional beritajogja jogja jogjaistimewa,negative,-0.7983,2,0.4319
11284,2020-12-19T14:19:32.000Z,Anggota DPR desak pembuatan RUU untuk lindungi pasar tradisional,anggota DPR desak pembuatan RUU untuk lindungi pasar tradisional,negative,-0.7330,2,0.3829
11286,2020-12-19T12:32:59.000Z,Terus cuman ngawasin aja Goblog boleh tapi jng pakai Pekok Tong Fungsi DPR itu mengawasi dan Mengkritik kebijakan pemerintah yg di nilainya salah tapi kalau bener ya tdk perlu di sanjung karena Pejabat di pilih dan di gaji utnk kerja bener DPR wakil rakyat bkn golongan,terus cuman ngawasin saja goblog boleh tetapi jangan pakai pekok tong fungsi DPR itu mengawasi dan mengkritik kebijakan pemerintah yang di nilainya salah tetapi jika benar ya tidak perlu di sanjung karena pejabat di pilih dan di gaji utnk kerja benar DPR wakil rakyat bukan golongan,negative,-0.9773,2,0.4181
11289,2020-12-19T02:36:23.000Z,tugas para bapak anggota DPR yg bisa menyampaikan aspirasi rakyat jgn hanya dekat sama rakyat ketika mau pilkada,tugas para bapak anggota DPR yang bisa menyampaikan aspirasi rakyat jangan hanya dekat sama rakyat ketika mau pilkada,negative,-0.4155,5,0.5335
11292,2020-12-18T23:07:10.000Z,Ini mantan anggota DPR paling tolol kulihat Kau pikir ketidak percayaan publik kepada jakowi tanpa sebab??? Kapan hasil uji klinis vaksin dirilis secara transparan ke publik ??? Banyak kebijakan dungu dipertontonkan kok kau minta publik percaya ?? Tolol kau,ini mantan anggota DPR paling tolol kulihat kau pikir ketidak percayaan publik kepada jakowi tanpa sebab ? ? kapan hasil uji klinis vaksin dirilis secara transparan ke publik ? ? banyak kebijakan dungu dipertontonkan kok kau meminta publik percaya ? ? tolol kau,negative,-0.8987,2,0.5738
11294,2020-12-18T10:48:57.000Z,Terkait kebijakan vaksin gratis dari pemerintah Anggota DPR RI Fraksi Demokrat Herman Khaeron menilai tidak ada yang istimewa dalam kebijakan tersebut Vaksin gratis sudah menjadi kewajiban negara siapapun presidennya urai Herman Khaeron,terkait kebijakan vaksin gratis dari pemerintah anggota DPR RI fraksi demokrat herman khaeron menilai tidak ada yang istimewa dalam kebijakan tersebut vaksin gratis sudah menjadi kewajiban negara siapapun presidennya urai herman khaeron,negative,-0.2023,2,0.3621
11297,2020-12-18T08:24:17.000Z,Editorial Hukum Dan Penegak Hukum Pengamat kepolisian Irjen Pol Purn Drs Sisno Adiwinoto MM Waketum Ikatan Sarjana Dan Profesi Kepolisian ISPPI Dan Ketua Penasihat Ahli Kapolri KITA KIITAIndonesia Indonesia,editorial hukum dan penegak hukum pengamat kepolisian irjen pol purn drs sisno adiwinoto MM waketum ikatan sarjana dan profesi kepolisian ISPPI dan ketua penasihat ahli kapolri KITA kiitaindonesia indonesia,negative,-0.5267,3,0.3983
11298,2020-12-18T07:37:06.000Z,LIVE NOW! Gak mau dong data pribadi Anda disalahgunakan Nah bgmn melindunginya? Yuk gabung di Webinar KBR x Rizki Aulia Rahman Anggota Panja RUU Pelindungan Data Pribadi Komisi sedang berbicara LIVE Youtube,LIVE NOW ! tidak mau dong data pribadi anda disalahgunakan nah bagaimana melindunginya ? yuk gabung di webinar KBR kali rizki aulia rahman anggota panja RUU pelindungan data pribadi komisi sedang berbicara LIVE youtube,negative,-0.2714,1,0.5075
11301,2020-12-18T05:47:05.000Z,Mrk blng mo nyampe in aspirasi rakyat kn kt mrk? Mrk kn pny wakil d pemerintah an knp ga menyampaikan lewat Wakil rakyat? Kita rakyat Ini bayar mrk ga kecil loh milyaran bln Trs knp ga kita srh krj mrk? Mrk hny mkn tdr aja Knp mrk ga merasa d zolimin yh ma Wakil rakyat?,mereka bilang mau sampai ini aspirasi rakyat kan kita mrk ? mereka kan punya wakil di pemerintah an kenapa tidak menyampaikan lewat wakil rakyat ? kita rakyat ini bayar mereka tidak kecil loh milyaran bulan terus kenapa tidak kita srh krj mrk ? mereka hanya makin tidur saja kenapa mereka tidak merasa di zolimin ya sama wakil rakyat ?,negative,-0.9476,2,0.3690
11302,2020-12-18T03:30:28.000Z,Presiden PKS Apresiasi Buku Putih Penanganan Covid FPKS DPR RI Buku Putih ini akan menjadi catatan dan masukan sebagai bahan kajian dan diskusi pemangku kebijakan agar lebih tepat dalam penanganan Covid fraksipksdprri bersamamelayanirakyat pksawasikabinet,presiden PKS apresiasi buku putih penanganan covid FPKS DPR RI buku putih ini akan menjadi catatan dan masukan sebagai bahan kajian dan diskusi pemangku kebijakan agar lebih tepat dalam penanganan covid fraksipksdprri bersamamelayanirakyat pksawasikabinet,negative,-0.7783,1,0.3790
11303,2020-12-18T02:50:19.000Z,Terkait kebijakan vaksin gratis ini Anggota DPR RI dari Fraksi Demokrat Herman Khaeron menilai tidak ada yang istimewa dalam kebijakan tersebut lewat,terkait kebijakan vaksin gratis ini anggota DPR RI dari fraksi demokrat herman khaeron menilai tidak ada yang istimewa dalam kebijakan tersebut lewat,negative,-0.5267,2,0.3293
11311,2020-12-17T10:23:36.000Z,Beda donk Musrenbang itu yg ngadain pemda via Bappeda Kl kegiatan reses wakil rakyat selain sosialisasi kebijakan jg serap aspirasi konstituen,beda dong musrenbang itu yang mengadakan pemda via bappeda jika kegiatan reses wakil rakyat selain sosialisasi kebijakan juga serap aspirasi konstituen,negative,-0.3818,2,0.4005
11312,2020-12-17T08:20:05.000Z,Nggak pernah diundang sm wakilmu ya ? Gampang aja tinggal dmn dapil brp wakilnya sapa nti kl pas jadwal reses minta diundang Setiap wakil rakyat kan pny tim tu hubungi tim nya,tidak pernah diundang sama wakilmu ya ? gampang saja tinggal dimana dapil berapa wakilnya sapa nanti jika pas jadwal reses meminta diundang setiap wakil rakyat kan punya tim itu hubungi tim nya,negative,-0.5538,4,0.3744
11314,2020-12-17T05:49:23.000Z,Terus bang dorong terus TGPF itu harus jadi Gunakan juga opsi hak angket yg di DPR TGPF ini aspirasi rakyat Kalo kami ini ngomong dikit dilaporin polisi Kalau abang kan punya imunitas anggota DPR,terus bang dorong terus TGPF itu harus jadi gunakan juga opsi hak angket yang di DPR TGPF ini aspirasi rakyat jika kami ini mengomong dikit dilaporin polisi jika abang kan punya imunitas anggota DPR,negative,-0.8402,5,0.3837
11316,2020-12-17T02:59:19.000Z,Seperti biasa ini dikenal sebagai anggota DPR MPR RI yg keseringan asal jeplak dalam berkomentar Asalkan yg penting Tolak! Padahal Calling Visa sudah ada sejak tahun berlandaskan alasan kemanusiaan Kebijakan Calling Visa sudah tepat!,seperti biasa ini dikenal sebagai anggota DPR MPR RI yang keseringan asal jeplak dalam berkomentar asalkan yang penting tolak ! padahal calling visa sudah ada sejak tahun berlandaskan alasan kemanusiaan kebijakan calling visa sudah tepat !,negative,-0.6351,5,0.4056
11318,2020-12-16T16:20:09.000Z,Kalo pemimpin negara tidak bisa dipercaya polisi yang harusnya melindungi dan mengayomi masyarakat malah balik menyerang dewan perwakilan rakyat yang harusnya mewakili aspirasi rakyat malah tuli Lantas pada siapa kita harus percaya di negri ini?,jika pemimpin negara tidak bisa dipercaya polisi yang harusnya melindungi dan mengayomi masyarakat malah balik menyerang dewan perwakilan rakyat yang harusnya mewakili aspirasi rakyat malah tuli lantas pada siapa kita harus percaya di negeri ini ?,negative,-0.9690,2,0.6825
11319,2020-12-16T14:49:30.000Z,Empat pilar kebangsaan itu Pancasila UUD NKRI Bhinneka Tunggal Ika Sejak Taufik Kiemas menjabat Ketua MPR pilar kebangsaan ini mjd slh satu materi sosialisasi yg hrs disampaikan oleh anggota DPR MPR RI kpd konstituen saat mlkk kegiatan reses,empat pilar kebangsaan itu pancasila UUD NKRI bhinneka tunggal ika sejak taufik kiemas menjabat ketua MPR pilar kebangsaan ini mjd salah satu materi sosialisasi yang harus disampaikan oleh anggota DPR MPR RI kepada konstituen saat mlkk kegiatan reses,negative,-0.8893,2,0.4117
11324,2020-12-16T08:33:13.000Z,PSI bersama rakyat mana? Yg ada wakil wakil rakyat pada walkout Cari panggung tuch Bukti fakta kerakyat dan kemasayarakatnya apa? Yg ada baru baru ini menolak ruu penodaan agama,PSI bersama rakyat mana ? yang ada wakil wakil rakyat pada walkout cari panggung tuh bukti fakta kerakyat dan kemasayarakatnya apa ? yang ada baru baru ini menolak ruu penodaan agama,negative,-0.9320,2,0.3883
11325,2020-12-16T08:28:21.000Z,PSI bersama rakyat? Yang ada wakil rakyat pada walkout Rakyat mana? Masyarakat mana? Yang jelas PSI lagi cari panggung Soal RUU penistaan agama pake di tolak Cari panggung trus Tuch ada Panggung Hiburan Anak anak,PSI bersama rakyat ? yang ada wakil rakyat pada walkout rakyat mana ? masyarakat mana ? yang jelas PSI lagi cari panggung soal RUU penistaan agama pakai di tolak cari panggung terus tuh ada panggung hiburan anak anak,negative,-0.9701,4,0.4130
11327,2020-12-16T05:44:08.000Z,Walaupun vaksin yg didatangkan pemerintahan Jokowi itu buatan tim malaikat pecundang senior ini tetap akan meragukannya MERAGUKAN SEMUA KEBIJAKAN JOKOWI MUNGKIN SATU SATUNYA CARA FADLI ZON MEMPERTAHANKAN KURSI DPR RI,walaupun vaksin yang didatangkan pemerintahan jokowi itu buatan tim malaikat pecundang senior ini tetap akan meragukannya MERAGUKAN SEMUA KEBIJAKAN JOKOWI MUNGKIN SATU SATUNYA CARA FADLI ZON MEMPERTAHANKAN KURSI DPR RI,negative,-0.4466,2,0.6289
11328,2020-12-16T02:34:03.000Z,Bekas Perdana Menteri Datuk Seri Najib Razak pagi ini dilihat mengulangi amaran kepada kerajaan Perikatan Nasional PN susulan kelulusan Rang Undang Undang Perbekalan Belanjawan Dipercayai kata dua wakil rakyat Barisan Nasional BN itu,bekas perdana menteri datuk seri najib razak pagi ini dilihat mengulangi amaran kepada kerajaan perikatan nasional PN susulan kelulusan rang undang undang perbekalan belanjawan dipercayai kata dua wakil rakyat barisan nasional BN itu,negative,-0.7184,5,0.4405
11329,2020-12-15T23:59:52.000Z,Tidak sedikit anggota DPR yang melihat RUU Perlindungan PRT dari kacamata majikan atau pemberi kerja menganggap RUU PRT sebagai ancaman yang bisa mengkriminalisasi majikan di masa depan,tidak sedikit anggota DPR yang melihat RUU perlindungan PRT dari kacamata majikan atau pemberi kerja menganggap RUU PRT sebagai ancaman yang bisa mengkriminalisasi majikan di masa depan,negative,-0.8283,1,0.5263
11330,2020-12-15T23:05:36.000Z,Seramai wakil rakyat menyokong tidak menyokong sementara seorang tidak hadir ICYMI AWANInews AWANIpagi,seramai wakil rakyat menyokong tidak menyokong sementara seorang tidak hadir ICYMI awaninews awanipagi,negative,-0.8862,5,0.6427
11332,2020-12-15T16:10:22.000Z,Kemiskinan jadi bukti kegagalan pemerintah dalam menginterpretasikan kebutuhan rakyat Seorang Mantan Wakil Rakyat Lah Bapak waktu menjabat sebagai wakil rakyat kenapa tidak secara optimal menyalurkan aspirasi rakyat? Banyak yang gak suka sama Bapak gara gara itu!,kemiskinan jadi bukti kegagalan pemerintah dalam menginterpretasikan kebutuhan rakyat seorang mantan wakil rakyat lah bapak waktu menjabat sebagai wakil rakyat kenapa tidak secara optimal menyalurkan aspirasi rakyat ? banyak yang tidak suka sama bapak gara gara itu !,negative,-0.9829,5,0.3972
11333,2020-12-15T15:13:26.000Z,Makanya anda jangan menggiring opini nntn karni mengatakan langsung di acara ILC bahwa itu kebijakan management teamnya sendiri untuk berhenti sementara waktu Giring opini terusss wakil rakyat kok makan isu murahan,makanya anda jangan menggiring opini menonton karni mengatakan langsung di acara ILC bahwa itu kebijakan management teamnya sendiri untuk berhenti sementara waktu giring opini terus wakil rakyat kok makan isu murahan,negative,-0.8689,2,0.4062
11341,2020-12-15T06:00:24.000Z,Tunjangan Anggota DPRD DKI Rapat paripurna Dewan Perwakilan Rakyat Daerah DPRD DKI Jakarta diwarna aksi meninggalkan ruang rapat walk out,tunjangan anggota DPRD DKI rapat paripurna dewan perwakilan rakyat daerah DPRD DKI jakarta diwarna aksi meninggalkan ruang rapat walk out,negative,-0.8788,5,0.5036
11342,2020-12-15T05:32:04.000Z,Hari ke dua kunjungan kerja reses berkunjung ke BLK Makassar didampingi Dirjen Binalattas Budi Hartawan dan Kepala BLK Makassar Fitroh Hanrahmawan Rombongan Komisi IX DPR RI meninjau workshop otomotif mesin CNC dan kelas bahasa,hari ke dua kunjungan kerja reses berkunjung ke BLK makassar didampingi dirjen binalattas budi hartawan dan kepala BLK makassar fitroh hanrahmawan rombongan komisi IX DPR RI meninjau workshop otomotif mesin CNC dan kelas bahasa,negative,-0.9364,4,0.3676
11347,2020-12-15T03:01:37.000Z,Dari kasus ini skrg kita paham bhw motivasi sebagian besar orang nyalon jadi anggota DPR DPRD itu bukan memperjuangkan aspirasi rakyat pemilihnya tapi memang utk cari makan Menjijikkan!,dari kasus ini sekarang kita paham bahwa motivasi sebagian besar orang nyalon jadi anggota DPR DPRD itu bukan memperjuangkan aspirasi rakyat pemilihnya tetapi memang untuk cari makan menjijikkan !,negative,-0.5556,5,0.3446
11348,2020-12-14T12:46:24.000Z,Ini anggota DPRD DKI non PSI kenapa seperti anak kecil? Bukannya kalian ditunjuk rakyat untuk perjuangkan aspirasi rakyat bukan ego kalian ya? Lagipula yg di Paripurnakan hal yg berbeda menyangkut keberlanjutan tata kota Wakil rakyat apa bukan ya?,ini anggota DPRD DKI non PSI kenapa seperti anak kecil ? bukan kalian ditunjuk rakyat untuk perjuangkan aspirasi rakyat bukan ego kalian ya ? lagipula yang di paripurnakan hal yang berbeda menyangkut keberlanjutan tata kota wakil rakyat apa bukan ya ?,negative,-0.9543,5,0.3905
11350,2020-12-14T10:03:45.000Z,Itu dia anda menghujat Presiden dgn alasan itu dr APBN! Pdhl kebijakan yg dikeluarkan oleh Presiden menggunakan APBN memberikan MANFAAT bg rakyat dan anda pun turut menikmatinya!Sdg kan yg menghabiskan APBN yg hasilnya hny dirasakan keluarganya doank anda cm bs,itu dia anda menghujat presiden dengan alasan itu dari APBN ! padahal kebijakan yang dikeluarkan oleh presiden menggunakan APBN memberikan MANFAAT bang rakyat dan anda pun turut menikmatinya ! sdg kan yang menghabiskan APBN yang hasilnya hanya dirasakan keluarganya doang anda cuma bisa,negative,-0.9712,6,0.4950
11356,2020-12-14T07:51:18.000Z,Kehadiran tiga Ahli Parlimen yg sedang menjalani perintah Pengawasan dan Pemerhatian di Rumah HSO hari ini mencetus bantahan wakil rakyat pembangkang pada sesi undi belah bahagian utk Rang Undang undang Perbekalan bg Kementerian Wilayah Persekutuan peringkat jawatankuasa,kehadiran tiga ahli parlimen yang sedang menjalani perintah pengawasan dan pemerhatian di rumah HSO hari ini mencetus bantahan wakil rakyat pembangkang pada sesi undi belah bahagian untuk rang undang undang perbekalan bang kementerian wilayah persekutuan peringkat jawatankuasa,negative,-0.5267,3,0.3139
11357,2020-12-14T07:43:56.000Z,Ini pemenrintah PUSAT sgr mengambil tindakan TEGAS terkait ada anggota wakil rakyat yg mnkmti uang dri rakyat fasilitas dri rakyat sdh sepantasnya hrs di kenai SANKSI kebijakan sbb anggota DPR RI msih adavyg memihak suatu ORMAS bibit TERORIS knp hrus di diamkan lama,ini pemenrintah PUSAT sgr mengambil tindakan TEGAS terkait ada anggota wakil rakyat yang mnkmti uang dari rakyat fasilitas dari rakyat sudah sepantasnya harus di kenai SANKSI kebijakan sebab anggota DPR RI masih adavyg memihak suatu ORMAS bibit TERORIS kenapa harus di diamkan lama,negative,-0.9422,2,0.3929
11358,2020-12-14T02:29:23.000Z,Tugas Anggota dewa N di itu menyerap aspirasi rakyat yg kemudian dirumuskan menjadi UU demi wewujudkan keadilan sosial bg slrh rakyat UU tdk memberikan wewenang kpd para dewa N utk mengintervensi hukum dgn jd penjamin bg tersangka?kalian wakil rakyat apa wakil ormas?,tugas anggota dewa n di itu menyerap aspirasi rakyat yang kemudian dirumuskan menjadi UU demi wewujudkan keadilan sosial bang slrh rakyat UU tidak memberikan wewenang kepada para dewa n untuk mengintervensi hukum dengan jadi penjamin bang tersangka ? kalian wakil rakyat apa wakil ormas ?,negative,-0.2273,3,0.4628
11359,2020-12-13T16:36:24.000Z,Selamat datang di indonesia Dimana para wakil rakyat Menjadi wakil bangsat membuat undang undang yang bisa menyelamatkan kantong nya sendiri hilang idealitas yg selama kampanye di utarakan Janji hanya tinggal hanji Yg penting aman sendiri usuttuntaspenembakanLASKARFPI,selamat datang di indonesia dimana para wakil rakyat menjadi wakil bangsat membuat undang undang yang bisa menyelamatkan kantong nya sendiri hilang idealitas yang selama kampanye di utarakan janji hanya tinggal hanji yang penting aman sendiri usuttuntaspenembakanlaskarfpi,negative,-0.4391,2,0.4535
11360,2020-12-13T16:18:57.000Z,Satu lagi Semua anggota dpr yg ngesahin ruu omnibus lau jdi tersaksa Krna mreka orang indonesia pada demo,satu lagi semua anggota dpr yang ngesahin ruu omnibus kau jadi tersaksa karena mereka orang indonesia pada demo,negative,-0.4291,4,0.5398
11362,2020-12-13T05:24:29.000Z,tugas negara utk rumuskan kebijakan via peraturan k depan utk membina eks napi radikalis intoleran spt ini eks terorisme khususny sdh ada? bagus sdh efektif aplikasiny berhasil so far? sebab u can put a body in jail but not a mind cc,tugas negara untuk rumuskan kebijakan via peraturan ke depan untuk membina eks napi radikalis intoleran seperti ini eks terorisme khususny sudah ada ? bagus sudah efektif aplikasiny berhasil sok far ? sebab kamu can put a body ini jail but not a mind cc,negative,-0.6322,4,0.3879
11364,2020-12-13T01:08:35.000Z,Ya DPR itu wakil rakyat reses cuma utk happy dg konstutuen ada pemilihnya yg kesusahan entah d mana dia Ternyata jiwa seperti tokoh Budi Utomo dan SP ngga ada lagi di indonesia,ya DPR itu wakil rakyat reses cuma untuk happy dengan konstutuen ada pemilihnya yang kesusahan entah di mana dia ternyata jiwa seperti tokoh budi utomo dan SAPA tidak ada lagi di indonesia,negative,-0.9022,5,0.4008
11365,2020-12-13T01:06:09.000Z,Banyak Anggota Dewan kok ngebacotnya cm di Medsos yg tempatnya Netizen berjuang Berjuang secara nyata utk keadilan di Parlemen sana Panjang² bikin unggahan cm bikin nyampah doang NATO No Action Taik KotOk ! x com SudionoTambun,banyak anggota dewan kok ngebacotnya cuma di medsos yang tempatnya netizen berjuang berjuang secara nyata untuk keadilan di parlemen sana panjang² bikin unggahan cuma bikin menyampah doang NATO no action tahi kotok ! kali com sudionotambun,negative,-0.2591,5,0.5436
11366,2020-12-12T10:43:51.000Z,Kepala aja botak tp otak ga dangkal anggota DPR komisi itu wakil rakyat bukan wakil lembaga lain jadi utamakan aspirasi rakyat bkn yg lain,kepala saja botak tetapi otak tidak dangkal anggota DPR komisi itu wakil rakyat bukan wakil lembaga lain jadi utamakan aspirasi rakyat bukan yang lain,negative,-0.6580,4,0.4580
11367,2020-12-12T08:02:01.000Z,Dewan Perwakilan Rakyat DPR menggelar Rapat Paripurna ke penutupan Masa Persidangan II Tahun Sidang korpolkam,dewan perwakilan rakyat DPR menggelar rapat paripurna ke penutupan masa persidangan II tahun sidang korpolkam,negative,-0.3818,1,0.7192
11368,2020-12-12T03:32:52.000Z,Ketika tanganmu menyoblos wakil rakyat yang salah di situlah akan menuai dosa jariyah jika wakil rakyat yang kau coblos membuat kebijakan yang menyengsarakan rakyat dan mendzolimi ulama maupun umat Ingat MENYENGSARAKAN bukan MENGSENGSENGSARAKAN rakyat,ketika tanganmu menyoblos wakil rakyat yang salah di situlah akan menuai dosa jariyah jika wakil rakyat yang kau coblos membuat kebijakan yang menyengsarakan rakyat dan mendzolimi ulama maupun umat ingat MENYENGSARAKAN bukan MENGSENGSENGSARAKAN rakyat,negative,-0.3818,2,0.8805
11369,2020-12-12T00:03:02.000Z,Minimal FZ sudah menyuarakan aspirasi rakyat di ruang publik Bandingkan dengan wakil rakyat yang mingkem gak jelas sikapnya,minimal FZ sudah menyuarakan aspirasi rakyat di ruang publik bandingkan dengan wakil rakyat yang mingkem tidak jelas sikapnya,negative,-0.9245,2,0.5669
11371,2020-12-10T06:16:06.000Z,Polisi menetapkan Imam Besar Front Pembela Islam Muhammad Rizieq Shihab MRS sebagai tersangka kasus kerumunan acara pernikahan putrinya di Petamburan Rizieq ditetapkan sebagai tersangka setelah penyidik melakukan gelar perkara,polisi menetapkan imam besar front pembela islam muhammad rizieq shihab MRS sebagai tersangka kasus kerumunan acara pernikahan putrinya di petamburan rizieq ditetapkan sebagai tersangka setelah penyidik melakukan gelar perkara,negative,-0.4442,4,0.3081
