no,timestamp,teks,teks_processed,sentiment,compound_score,tokens_lda,teks_lda_clean
12178,2021-12-15T17:28:22.000Z,Rapat Panja RUU Ibu Kota Negara IKN DPR RI hari ini Rabu membuahkan keputusan terkait keberlanjutan pembahasan RUU IKN Kejar Target !! Rakyat Monitor !!,rapat panja RUU ibu kota negara IKN DPR RI hari ini rabu membuahkan keputusan terkait keberlanjutan pembahasan RUU IKN kejar target ! ! rakyat monitor ! !,negative,-0.8885,"['panja', 'kota', 'negara', 'ikn', 'rabu', 'membuahkan', 'keputusan', 'terkait', 'keberlanjutan', 'pembahasan', 'ikn', 'kejar', 'target', 'rakyat', 'monitor']",panja kota negara ikn rabu membuahkan keputusan terkait keberlanjutan pembahasan ikn kejar target rakyat monitor
12180,2021-12-15T15:07:57.000Z,Anggota Komisi VII menyoroti kebijakan Menteri BUMN Erick Tohir yang mulai gencar mengganti Direksi BUMN,anggota komisi VII menyoroti kebijakan menteri BUMN erick tohir yang mulai gencar mengganti direksi BUMN,negative,-0.516,"['komisi', 'vii', 'menyoroti', 'kebijakan', 'menteri', 'bumn', 'erick', 'tohir', 'gencar', 'mengganti', 'direksi', 'bumn']",komisi vii menyoroti kebijakan menteri bumn erick tohir gencar mengganti direksi bumn
12181,2021-12-15T14:35:19.000Z,Dari sekian banyak anggota DPR perempuan yang terdengar suaranya hanya Lestari Moerdiyat Wakil Ketua MPR dari Fraksi Nasdem Lainnya ke mana ya? Kalau kader partai dakwah mah jelas anti RUU ini,dari sekian banyak anggota DPR perempuan yang terdengar suaranya hanya lestari moerdiyat wakil ketua MPR dari fraksi nasdem lainnya ke mana ya ? jika kader partai dakwah mah jelas anti RUU ini,negative,-0.1496,"['sekian', 'perempuan', 'terdengar', 'suaranya', 'lestari', 'moerdiyat', 'wakil', 'ketua', 'mpr', 'fraksi', 'nasdem', 'kader', 'partai', 'dakwah', 'mah', 'anti']",sekian perempuan terdengar suaranya lestari moerdiyat wakil ketua mpr fraksi nasdem kader partai dakwah mah anti
12182,2021-12-15T13:26:09.000Z,Darurat Kekerasan Seksual Anggota DPR RI Fraksi PKB Pengesahan RUU TPKS Mendesak Dilakukan DPRRIFraksiPKB KekerasanSeksual KomisiVIIIDPRRI Nurhuda PKB,darurat kekerasan seksual anggota DPR RI fraksi PKB pengesahan RUU TPKS mendesak dilakukan dprrifraksipkb kekerasanseksual komisiviidprri nurhuda PKB,negative,-0.6289,"['darurat', 'kekerasan', 'seksual', 'fraksi', 'pkb', 'pengesahan', 'tpks', 'mendesak', 'dprrifraksipkb', 'kekerasanseksual', 'komisiviidprri', 'nurhuda', 'pkb']",darurat kekerasan seksual fraksi pkb pengesahan tpks mendesak dprrifraksipkb kekerasanseksual komisiviidprri nurhuda pkb
12183,2021-12-15T12:44:35.000Z,Jika UU Perampasan Aset tidak sampai masuk Prolegnas maka terkonfirmasi sudah di dalamnya berisi banyak barang busuk,jika UU perampasan aset tidak sampai masuk prolegnas maka terkonfirmasi sudah di dalamnya berisi banyak barang busuk,negative,-0.9411,"['perampasan', 'aset', 'masuk', 'prolegnas', 'terkonfirmasi', 'dalamnya', 'berisi', 'barang', 'busuk']",perampasan aset masuk prolegnas terkonfirmasi dalamnya berisi barang busuk
12184,2021-12-15T12:20:24.000Z,Kayaknya reses anggota DPR atau DPRD ne Tentu narasinya akan sesuai dg arahan partainya,kayaknya reses anggota DPR atau DPRD ini tentu narasinya akan sesuai dengan arahan partainya,negative,-0.7783,"['kayaknya', 'reses', 'dprd', 'narasinya', 'sesuai', 'arahan', 'partainya']",kayaknya reses dprd narasinya sesuai arahan partainya
12187,2021-12-15T11:29:20.000Z,Wakil Ketua DPR RI Muhaimin Iskandar menyebut Mahkamah Kehormatan Dewan MKD saat ini tlh menjelma menjadi slh satu jalur paling efektif utk menuntut tanggung jwb anggota parlemen di tengah kompleksitas demokrasi DPRuntukNegeri Terus mendengar aspirasi rakyat,wakil ketua DPR RI muhaimin iskandar menyebut mahkamah kehormatan dewan MKD saat ini tlh menjelma menjadi salah satu jalur paling efektif untuk menuntut tanggung jawab anggota parlemen di tengah kompleksitas demokrasi dpruntuknegeri terus mendengar aspirasi rakyat,negative,-0.9153,"['wakil', 'ketua', 'muhaimin', 'iskandar', 'menyebut', 'mahkamah', 'kehormatan', 'dewan', 'mkd', 'tlh', 'menjelma', 'salah', 'jalur', 'efektif', 'menuntut', 'tanggung', 'parlemen', 'kompleksitas', 'demokrasi', 'dpruntuknegeri', 'mendengar', 'aspirasi', 'rakyat']",wakil ketua muhaimin iskandar menyebut mahkamah kehormatan dewan mkd tlh menjelma salah jalur efektif menuntut tanggung parlemen kompleksitas demokrasi dpruntuknegeri mendengar aspirasi rakyat
12191,2021-12-15T09:44:44.000Z,Hal itu disampaikan Muhaimin saat menghadiri sekaligus membuka Seminar Nasional MKD DPR RI MKD menjadi satunya instrumen yg dapat menanggalkan hak imunitas seorang anggota parlemen DPRuntukNegeri Terus mendengar aspirasi rakyat,hal itu disampaikan muhaimin saat menghadiri sekaligus membuka seminar nasional MKD DPR RI MKD menjadi satunya instrumen yang dapat menanggalkan hak imunitas seorang anggota parlemen dpruntuknegeri terus mendengar aspirasi rakyat,negative,-0.2023,"['muhaimin', 'menghadiri', 'membuka', 'seminar', 'nasional', 'mkd', 'mkd', 'satunya', 'instrumen', 'menanggalkan', 'hak', 'imunitas', 'parlemen', 'dpruntuknegeri', 'mendengar', 'aspirasi', 'rakyat']",muhaimin menghadiri membuka seminar nasional mkd mkd satunya instrumen menanggalkan hak imunitas parlemen dpruntuknegeri mendengar aspirasi rakyat
12192,2021-12-15T09:44:43.000Z,Wakil Ketua DPR RI Muhaimin Iskandar menyebut Mahkamah Kehormatan Dewan MKD saat ini telah menjelma menjadi salah satu jalur paling efektif untuk menuntut tanggung jawab anggota parlemen di tengah kompleksitas demokrasi DPRuntukNegeri Terus mendengar aspirasi rakyat,wakil ketua DPR RI muhaimin iskandar menyebut mahkamah kehormatan dewan MKD saat ini telah menjelma menjadi salah satu jalur paling efektif untuk menuntut tanggung jawab anggota parlemen di tengah kompleksitas demokrasi dpruntuknegeri terus mendengar aspirasi rakyat,negative,-0.9153,"['wakil', 'ketua', 'muhaimin', 'iskandar', 'menyebut', 'mahkamah', 'kehormatan', 'dewan', 'mkd', 'menjelma', 'salah', 'jalur', 'efektif', 'menuntut', 'tanggung', 'parlemen', 'kompleksitas', 'demokrasi', 'dpruntuknegeri', 'mendengar', 'aspirasi', 'rakyat']",wakil ketua muhaimin iskandar menyebut mahkamah kehormatan dewan mkd menjelma salah jalur efektif menuntut tanggung parlemen kompleksitas demokrasi dpruntuknegeri mendengar aspirasi rakyat
12194,2021-12-15T09:14:49.000Z,Wakil Ketua DPR RI Muhaimin Iskandar menyebut MKD saat ini telah menjelma menjadi salah satu jalur paling efektif untuk menuntut tanggung jawab anggota parlemen di tengah kompleksitas demokrasi DPRuntukNegeri Terus mendengar aspirasi rakyat,wakil ketua DPR RI muhaimin iskandar menyebut MKD saat ini telah menjelma menjadi salah satu jalur paling efektif untuk menuntut tanggung jawab anggota parlemen di tengah kompleksitas demokrasi dpruntuknegeri terus mendengar aspirasi rakyat,negative,-0.9371,"['wakil', 'ketua', 'muhaimin', 'iskandar', 'menyebut', 'mkd', 'menjelma', 'salah', 'jalur', 'efektif', 'menuntut', 'tanggung', 'parlemen', 'kompleksitas', 'demokrasi', 'dpruntuknegeri', 'mendengar', 'aspirasi', 'rakyat']",wakil ketua muhaimin iskandar menyebut mkd menjelma salah jalur efektif menuntut tanggung parlemen kompleksitas demokrasi dpruntuknegeri mendengar aspirasi rakyat
12195,2021-12-15T09:08:39.000Z,Ramainya berita ttg petani bawang mengerucut pd peran Kemendag Komisi VI DPR RI rapat dgn Menteri Perdagangan Muhammad Lutfi membahas Persetujuan Kemitraan Ekonomi Komprehensif Regional di Gedung DPR Senayan Jakarta DPRuntukNegeri terus mendengar aspirasi rakyat,ramainya berita tentang petani bawang mengerucut pada peran kemendag komisi VI DPR RI rapat dengan menteri perdagangan muhammad lutfi membahas persetujuan kemitraan ekonomi komprehensif regional di gedung DPR senayan jakarta dpruntuknegeri terus mendengar aspirasi rakyat,negative,-0.5267,"['ramainya', 'berita', 'petani', 'bawang', 'mengerucut', 'peran', 'kemendag', 'komisi', 'menteri', 'perdagangan', 'muhammad', 'lutfi', 'membahas', 'persetujuan', 'kemitraan', 'ekonomi', 'komprehensif', 'regional', 'gedung', 'senayan', 'jakarta', 'dpruntuknegeri', 'mendengar', 'aspirasi', 'rakyat']",ramainya berita petani bawang mengerucut peran kemendag komisi menteri perdagangan muhammad lutfi membahas persetujuan kemitraan ekonomi komprehensif regional gedung senayan jakarta dpruntuknegeri mendengar aspirasi rakyat
12198,2021-12-15T08:51:20.000Z,Semoga tahun ini tidak mengulang tahun tahun sebelumnya dimana penantian payung hukum penghapusan kekerasan seksual terus ditunda pembahasannya RUU TPKS kini belum masuk tahap pembahasan padahal masa sidang paripurna DPR RI akan berakhir di bulan ini DaruratKekerasanSeksual,semoga tahun ini tidak mengulang tahun tahun sebelumnya dimana penantian payung hukum penghapusan kekerasan seksual terus ditunda pembahasannya RUU TPKS kini belum masuk tahap pembahasan padahal masa sidang paripurna DPR RI akan berakhir di bulan ini daruratkekerasanseksual,negative,-0.25,"['semoga', 'mengulang', 'dimana', 'penantian', 'payung', 'hukum', 'penghapusan', 'kekerasan', 'seksual', 'ditunda', 'pembahasannya', 'tpks', 'masuk', 'tahap', 'pembahasan', 'sidang', 'daruratkekerasanseksual']",semoga mengulang dimana penantian payung hukum penghapusan kekerasan seksual ditunda pembahasannya tpks masuk tahap pembahasan sidang daruratkekerasanseksual
12201,2021-12-15T06:06:08.000Z,Untuk hal yg lain kami juga menyesali sikap dan posisi Partai Golkar yg masih menunda RUU Tindak Pidana Kekerasan Seksual RUU TPKS yg telah disepakati oleh Fraksi lainnya u ditindaklanjuti sebagai inisiatif DPR pada rapat BALEG DPR RI pada Desember RUUPPRT RUUTPKS,untuk hal yang lain kami juga menyesali sikap dan posisi partai golkar yang masih menunda RUU tindak pidana kekerasan seksual RUU TPKS yang telah disepakati oleh fraksi lainnya kamu ditindaklanjuti sebagai inisiatif DPR pada rapat BALEG DPR RI pada desember RUUPPRT RUUTPKS,negative,-0.7125,"['menyesali', 'sikap', 'posisi', 'partai', 'golkar', 'menunda', 'tindak', 'pidana', 'kekerasan', 'seksual', 'tpks', 'disepakati', 'fraksi', 'ditindaklanjuti', 'inisiatif', 'baleg', 'desember', 'ruupprt', 'ruutpks']",menyesali sikap posisi partai golkar menunda tindak pidana kekerasan seksual tpks disepakati fraksi ditindaklanjuti inisiatif baleg desember ruupprt ruutpks
12204,2021-12-15T04:56:29.000Z,Rencana Pemindahan Ibu Kota Negara hrs dikaji secara mendalam oleh DPR RI Sejarah akan mencatat dengan tinta emas pada keputusan yang akan kalian ambil Hanya DPR RI yg berwenang menerima dan menolak RUU jadi UU,rencana pemindahan ibu kota negara harus dikaji secara mendalam oleh DPR RI sejarah akan mencatat dengan tinta emas pada keputusan yang akan kalian ambil hanya DPR RI yang berwenang menerima dan menolak RUU jadi UU,negative,-0.8374,"['rencana', 'pemindahan', 'kota', 'negara', 'dikaji', 'mendalam', 'sejarah', 'mencatat', 'tinta', 'emas', 'keputusan', 'ambil', 'berwenang', 'menerima', 'menolak']",rencana pemindahan kota negara dikaji mendalam sejarah mencatat tinta emas keputusan ambil berwenang menerima menolak
12208,2021-12-15T03:36:36.000Z,Sekretaris Fraksi PPP DPR RI Achmad Baidowi menegaskan hingga saat ini DPR maupun pemerintah belum merencanakan untuk merevisi Undang Undang Pemilu,sekretaris fraksi PP DPR RI achmad baidowi menegaskan hingga saat ini DPR maupun pemerintah belum merencanakan untuk merevisi undang undang pemilu,negative,-0.5437,"['sekretaris', 'fraksi', 'achmad', 'baidowi', 'pemerintah', 'merencanakan', 'merevisi', 'undang', 'undang', 'pemilu']",sekretaris fraksi achmad baidowi pemerintah merencanakan merevisi undang undang pemilu
12209,2021-12-15T03:29:00.000Z,Menohok! Soal Kebijakan Karantina Anggota DPR Ini Sebut Jangan Sampai Dijadikan Ladang Bisnis Pemerintah Ini yang Harus Dijawab Baca Selengkapnya,menohok ! soal kebijakan karantina anggota DPR ini sebut jangan sampai dijadikan ladang bisnis pemerintah ini yang harus dijawab baca selengkapnya,negative,-0.1798,"['menohok', 'kebijakan', 'karantina', 'dijadikan', 'ladang', 'bisnis', 'pemerintah', 'baca', 'selengkapnya']",menohok kebijakan karantina dijadikan ladang bisnis pemerintah baca selengkapnya
12211,2021-12-15T02:41:43.000Z,Pakar Oposisi Lemah DPR Cetak UU Elitis dan Tak Aspiratif,pakar oposisi lemah DPR cetak UU elitis dan tak aspiratif,negative,-0.5766,"['pakar', 'oposisi', 'lemah', 'cetak', 'elitis', 'aspiratif']",pakar oposisi lemah cetak elitis aspiratif
12218,2021-12-14T23:00:02.000Z,RUU Perampasan Aset berikut naskah akademiknya sudah siap Pemerintah bisa mengajukan RUU Perampasan Aset ke Dewan Perwakilan Rakyat tanpa menunggu rapat kerja evaluasi program legislasi nasional Polhuk AdadiKompas,RUU perampasan aset berikut naskah akademiknya sudah siap pemerintah bisa mengajukan RUU perampasan aset ke dewan perwakilan rakyat tanpa menunggu rapat kerja evaluasi program legislasi nasional polhuk adadikompas,negative,-0.423,"['perampasan', 'aset', 'naskah', 'akademiknya', 'pemerintah', 'mengajukan', 'perampasan', 'aset', 'dewan', 'perwakilan', 'rakyat', 'menunggu', 'kerja', 'evaluasi', 'program', 'legislasi', 'nasional', 'polhuk', 'adadikompas']",perampasan aset naskah akademiknya pemerintah mengajukan perampasan aset dewan perwakilan rakyat menunggu kerja evaluasi program legislasi nasional polhuk adadikompas
12222,2021-12-14T14:36:53.000Z,Acuh Sudah bisa di tebak tuh arahnya paling ngakalin duit rakyat Dgn dalih reses dan kunker alias pelesiran,acuh sudah bisa di tebak tuh arahnya paling ngakalin duit rakyat dengan dalih reses dan kunker alias pelesiran,negative,-0.2023,"['acuh', 'tebak', 'tuh', 'arahnya', 'ngakalin', 'duit', 'rakyat', 'dalih', 'reses', 'kunker', 'alias', 'pelesiran']",acuh tebak tuh arahnya ngakalin duit rakyat dalih reses kunker alias pelesiran
12223,2021-12-14T13:36:55.000Z,Datangi Gedung DPR Kohati PB HMI Desak Pengesahan RUU PPRT,datangi gedung DPR kohati PB HMI desak pengesahan RUU PPRT,negative,-0.2437,"['datangi', 'gedung', 'kohati', 'hmi', 'desak', 'pengesahan', 'pprt']",datangi gedung kohati hmi desak pengesahan pprt
12225,2021-12-14T12:21:29.000Z,Mahfud Md Menyatakan Pemerintah Akan Kembali Ajukan RUU Perampasan Aset ke DPR RI,mahfud md menyatakan pemerintah akan kembali ajukan RUU perampasan aset ke DPR RI,negative,-0.516,"['mahfud', 'pemerintah', 'ajukan', 'perampasan', 'aset']",mahfud pemerintah ajukan perampasan aset
12228,2021-12-14T09:29:28.000Z,Satgas dan BNPB membuat kebijakan karantina Anggotanya di lapangan terima suap lolosin selebgram Tak ada hukuman yang membuat dia jera Sang wakil rakyat dan banyak orang lainnya cemburu dan melakukan yg serupa Satgas pun bikin kebijakan nyeleneh untuk mereka,satgas dan BNPB membuat kebijakan karantina anggotanya di lapangan terima suap lolosin selebgram tak ada hukuman yang membuat dia jera sang wakil rakyat dan banyak orang lainnya cemburu dan melakukan yang serupa satgas pun bikin kebijakan nyeleneh untuk mereka,negative,-0.8225,"['satgas', 'bnpb', 'kebijakan', 'karantina', 'anggotanya', 'lapangan', 'terima', 'suap', 'lolosin', 'selebgram', 'hukuman', 'jera', 'sang', 'wakil', 'rakyat', 'orang', 'cemburu', 'satgas', 'bikin', 'kebijakan', 'nyeleneh']",satgas bnpb kebijakan karantina anggotanya lapangan terima suap lolosin selebgram hukuman jera sang wakil rakyat orang cemburu satgas bikin kebijakan nyeleneh
12230,2021-12-14T08:56:38.000Z,Walaupun ada undang undang anti lompat tetap tidak akan ubah jika wakil rakyat WR tersebut tidak melaksanakan tugas dengan baik Rakyat perlukan sistem laporan awam yang telus berkenaan dengan kerja kerja yang dilaksanakan oleh WR Jika baik bagus Jika tidak masuk rekod,walaupun ada undang undang anti lompat tetap tidak akan ubah jika wakil rakyat WR tersebut tidak melaksanakan tugas dengan baik rakyat perlukan sistem laporan awam yang telus berkenaan dengan kerja kerja yang dilaksanakan oleh WR jika baik bagus jika tidak masuk rekod,negative,-0.4574,"['undang', 'undang', 'anti', 'lompat', 'ubah', 'wakil', 'rakyat', 'melaksanakan', 'tugas', 'rakyat', 'perlukan', 'sistem', 'laporan', 'awam', 'telus', 'kerja', 'kerja', 'dilaksanakan', 'bagus', 'masuk', 'rekod']",undang undang anti lompat ubah wakil rakyat melaksanakan tugas rakyat perlukan sistem laporan awam telus kerja kerja dilaksanakan bagus masuk rekod
12232,2021-12-14T08:35:42.000Z,ngerii ehh efek pandemi ini dimanfaatin orang² goblok Wakil Ketua Komisi IX DPR RI Fraksi PKS Anshory Siregar mencurigai adanya mafia hotel yang bermain dari kebijakan kewajiban karantina hari untuk kedatangan WNA WNI dari luar negeri,ngeri eh efek pandemi ini dimanfaatin orang² goblok wakil ketua komisi IX DPR RI fraksi PKS anshory siregar mencurigai adanya mafia hotel yang bermain dari kebijakan kewajiban karantina hari untuk kedatangan WNA WNI dari luar negeri,negative,-0.9317,"['ngeri', 'efek', 'pandemi', 'dimanfaatin', 'goblok', 'wakil', 'ketua', 'komisi', 'fraksi', 'pks', 'anshory', 'siregar', 'mencurigai', 'mafia', 'hotel', 'bermain', 'kebijakan', 'kewajiban', 'karantina', 'kedatangan', 'wna', 'wni', 'negeri']",ngeri efek pandemi dimanfaatin goblok wakil ketua komisi fraksi pks anshory siregar mencurigai mafia hotel bermain kebijakan kewajiban karantina kedatangan wna wni negeri
12241,2021-12-14T06:29:08.000Z,Wakil rakyat itu ya harus mencerminkan warak dak karakter kerakyatan Klo rakyat aja di karantina di Wisma atlit masa wakilnya ga mau trus gmn mau mewakili aspirasi rakyat nya yg milih dia maunya di nusa kambangan x ya,wakil rakyat itu ya harus mencerminkan warak indak karakter kerakyatan jika rakyat saja di karantina di wisma atlit masa wakilnya tidak mau terus bagaimana mau mewakili aspirasi rakyat nya yang memilih dia maunya di nusa kambangan kali ya,negative,-0.9451,"['wakil', 'rakyat', 'mencerminkan', 'warak', 'indak', 'karakter', 'kerakyatan', 'rakyat', 'karantina', 'wisma', 'atlit', 'wakilnya', 'mewakili', 'aspirasi', 'rakyat', 'memilih', 'maunya', 'nusa', 'kambangan', 'kali']",wakil rakyat mencerminkan warak indak karakter kerakyatan rakyat karantina wisma atlit wakilnya mewakili aspirasi rakyat memilih maunya nusa kambangan kali
12242,2021-12-14T05:57:43.000Z,Baleg DPR Serap Aspirasi dari Masyarakat Papua Terkait Penyusunan RUU Minol,baleg DPR serap aspirasi dari masyarakat papua terkait penyusunan RUU minol,negative,-0.6289,"['baleg', 'serap', 'aspirasi', 'masyarakat', 'papua', 'terkait', 'penyusunan', 'minol']",baleg serap aspirasi masyarakat papua terkait penyusunan minol
12244,2021-12-14T04:34:02.000Z,Sebagai bagian warga negara Indonesia mempunyai hak konstitusional Bamus harus segera agendakan pembahasan RUU PPRT,sebagai bagian warga negara indonesia mempunyai hak konstitusional bamus harus segera agendakan pembahasan RUU PPRT,negative,-0.7184,"['warga', 'negara', 'indonesia', 'hak', 'konstitusional', 'bamus', 'agendakan', 'pembahasan', 'pprt']",warga negara indonesia hak konstitusional bamus agendakan pembahasan pprt
12245,2021-12-14T04:32:12.000Z,th sudah RUU PPRT tak kunjung disahkan Bamus harus segera agendakan pembahasan RUU PPRT,tahu sudah RUU PPRT tak kunjung disahkan bamus harus segera agendakan pembahasan RUU PPRT,negative,-0.7277,"['pprt', 'kunjung', 'disahkan', 'bamus', 'agendakan', 'pembahasan', 'pprt']",pprt kunjung disahkan bamus agendakan pembahasan pprt
12248,2021-12-14T01:42:45.000Z,RUU Hukum Acara Perdata Haper sudah masuk dlm Daftar Program Legislasi Nasional Prolegnas DPR RI periode masuk dlm Prolegnas Prioritas meski belum dibahas pd tahun berjalan dan diusulkan kembali masuk Prolegnas prioritas Salah satu aspek penting,RUU hukum acara perdata haper sudah masuk dalam daftar program legislasi nasional prolegnas DPR RI periode masuk dalam prolegnas prioritas meski belum dibahas pada tahun berjalan dan diusulkan kembali masuk prolegnas prioritas salah satu aspek penting,negative,-0.7783,"['hukum', 'acara', 'perdata', 'haper', 'masuk', 'daftar', 'program', 'legislasi', 'nasional', 'prolegnas', 'periode', 'masuk', 'prolegnas', 'prioritas', 'dibahas', 'berjalan', 'diusulkan', 'masuk', 'prolegnas', 'prioritas', 'salah', 'aspek']",hukum acara perdata haper masuk daftar program legislasi nasional prolegnas periode masuk prolegnas prioritas dibahas berjalan diusulkan masuk prolegnas prioritas salah aspek
12249,2021-12-14T01:42:05.000Z,Mulan Kwok Mulan Jamila Wulansari with bare minimum competency in Perwakilan Aspirasi Rakyat bisa jadi anggota DPR aja udah a,mulan kwok mulan jamila wulansari with bare minimum competency ini perwakilan aspirasi rakyat bisa jadi anggota DPR saja sudah a,negative,-0.3818,"['mulan', 'kwok', 'mulan', 'jamila', 'wulansari', 'with', 'bare', 'minimum', 'competency', 'perwakilan', 'aspirasi', 'rakyat']",mulan kwok mulan jamila wulansari with bare minimum competency perwakilan aspirasi rakyat
12251,2021-12-14T01:32:59.000Z,SERUAN AKSI RUU PRT sudah diusulkan sejak tahun dan sudah tahun RUU PRT digantungin hak hak PRT tidak dilindungi Hari ini jam nanti mari kita gugat pimpinan DPR F PDIP FP GOLKAR dengan aksi rantai diri di DEPAN GEDUNG DPR oleh PRT Sarinah sahkanRUUPRT,SERUAN AKSI RUU PRT sudah diusulkan sejak tahun dan sudah tahun RUU PRT digantungin hak hak PRT tidak dilindungi hari ini jam nanti mari kita gugat pimpinan DPR f PDIP FP GOLKAR dengan aksi rantai diri di DEPAN GEDUNG DPR oleh PRT sarinah sahkanruuprt,negative,-0.7679,"['seruan', 'aksi', 'prt', 'diusulkan', 'prt', 'digantungin', 'hak', 'hak', 'prt', 'dilindungi', 'jam', 'mari', 'gugat', 'pimpinan', 'pdip', 'golkar', 'aksi', 'rantai', 'gedung', 'prt', 'sarinah', 'sahkanruuprt']",seruan aksi prt diusulkan prt digantungin hak hak prt dilindungi jam mari gugat pimpinan pdip golkar aksi rantai gedung prt sarinah sahkanruuprt
12252,2022-12-25T09:30:21.000Z,Dalam kegiatan reses Anggota DPR RI F PKS Adang Daradjatun berbincang dengan warga yang ingin mendaftar sebagai anggota Partai Keadilan Sejahtera Alhamdulillah banyak yang berminat gabung PKS fraksipksdprri,dalam kegiatan reses anggota DPR RI f PKS adang daradjatun berbincang dengan warga yang ingin mendaftar sebagai anggota partai keadilan sejahtera alhamdulillah banyak yang berminat gabung PKS fraksipksdprri,negative,-0.2023,"['kegiatan', 'reses', 'pks', 'adang', 'daradjatun', 'berbincang', 'warga', 'mendaftar', 'partai', 'keadilan', 'sejahtera', 'alhamdulillah', 'berminat', 'gabung', 'pks', 'fraksipksdprri']",kegiatan reses pks adang daradjatun berbincang warga mendaftar partai keadilan sejahtera alhamdulillah berminat gabung pks fraksipksdprri
12253,2022-12-28T01:32:35.000Z,Anggota DPR RI F PKS Ahmad Syaikhu mengawali masa reses sebagai anggota komisi I DPR RI dengan melakukan kunjungan ke Kabupaten Karawang pada Kamis,anggota DPR RI f PKS ahmad syaikhu mengawali masa reses sebagai anggota komisi i DPR RI dengan melakukan kunjungan ke kabupaten karawang pada kamis,negative,-0.8192,"['pks', 'ahmad', 'syaikhu', 'mengawali', 'reses', 'komisi', 'kunjungan', 'kabupaten', 'karawang', 'kamis']",pks ahmad syaikhu mengawali reses komisi kunjungan kabupaten karawang kamis
12257,2022-12-26T06:50:18.000Z,Bayangkan anggota DPR diganti robot agar bisa menghasilkan aturan sesuai aspirasi rakyat Masyarakat Eropa dan China sudah mulai tertarik dengan ide gila ini Kalian setuju atau tidak detikers?,bayangkan anggota DPR diganti robot agar bisa menghasilkan aturan sesuai aspirasi rakyat masyarakat eropa dan china sudah mulai tertarik dengan ide gila ini kalian setuju atau tidak detikers ?,negative,-0.5859,"['bayangkan', 'diganti', 'robot', 'menghasilkan', 'aturan', 'sesuai', 'aspirasi', 'rakyat', 'masyarakat', 'eropa', 'china', 'tertarik', 'ide', 'gila', 'setuju', 'detikers']",bayangkan diganti robot menghasilkan aturan sesuai aspirasi rakyat masyarakat eropa china tertarik ide gila setuju detikers
12260,2022-12-23T11:01:10.000Z,Anggota DPR RI Komang Koheri melaksanakan reses menyerap aspirasi masyarakat dengan menyalurkan bantuan RKB ruang kelas baru dari Kementerian Agama RI sebesar Juta di Pondok Pesantren Hidayatul Ulum,anggota DPR RI komang koheri melaksanakan reses menyerap aspirasi masyarakat dengan menyalurkan bantuan RKB ruang kelas baru dari kementerian agama RI sebesar juta di pondok pesantren hidayatul ulum,negative,-0.8225,"['komang', 'koheri', 'melaksanakan', 'reses', 'menyerap', 'aspirasi', 'masyarakat', 'menyalurkan', 'bantuan', 'rkb', 'ruang', 'kelas', 'kementerian', 'agama', 'juta', 'pondok', 'pesantren', 'hidayatul', 'ulum']",komang koheri melaksanakan reses menyerap aspirasi masyarakat menyalurkan bantuan rkb ruang kelas kementerian agama juta pondok pesantren hidayatul ulum
12262,2022-12-23T15:13:19.000Z,Anggota Komisi VII DPR RI Fraksi Partai Demokrat DPR RI Sartono Hutomo merespon kebijakan Pemerintah yang mewajibkan pembeli LPG kg gunakan KTP Sartono mendesak pemerintah agar kebijakan tersebut dipertimbangkan karena berpotensi mematikan UMKM DemokratPeduliUMKM,anggota komisi VII DPR RI fraksi partai demokrat DPR RI sartono hutomo merespon kebijakan pemerintah yang mewajibkan pembeli LPG kg gunakan KTP sartono mendesak pemerintah agar kebijakan tersebut dipertimbangkan karena berpotensi mematikan UMKM demokratpeduliumkm,negative,-0.6289,"['komisi', 'vii', 'fraksi', 'partai', 'demokrat', 'sartono', 'hutomo', 'merespon', 'kebijakan', 'pemerintah', 'mewajibkan', 'pembeli', 'lpg', 'ktp', 'sartono', 'mendesak', 'pemerintah', 'kebijakan', 'dipertimbangkan', 'berpotensi', 'mematikan', 'umkm', 'demokratpeduliumkm']",komisi vii fraksi partai demokrat sartono hutomo merespon kebijakan pemerintah mewajibkan pembeli lpg ktp sartono mendesak pemerintah kebijakan dipertimbangkan berpotensi mematikan umkm demokratpeduliumkm
12270,2022-12-24T11:00:47.000Z,Sebelum itu kita harus tau dulu nih arti undang undang itu apa? Berdasarkan Pasal ayat UU dinyatakan bahwa Undang Undang adalah Peraturan Perundang undangan yang dibentuk oleh Dewan Perwakilan Rakyat dengan persetujuan bersama Presiden,sebelum itu kita harus tau dulu ini arti undang undang itu apa ? berdasarkan pasal ayat UU dinyatakan bahwa undang undang adalah peraturan perundang undangan yang dibentuk oleh dewan perwakilan rakyat dengan persetujuan bersama presiden,negative,-0.8555,"['tau', 'arti', 'undang', 'undang', 'berdasarkan', 'pasal', 'ayat', 'dinyatakan', 'undang', 'undang', 'peraturan', 'perundang', 'undangan', 'dibentuk', 'dewan', 'perwakilan', 'rakyat', 'persetujuan', 'presiden']",tau arti undang undang berdasarkan pasal ayat dinyatakan undang undang peraturan perundang undangan dibentuk dewan perwakilan rakyat persetujuan presiden
